epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.6229,1.95458,1.52721,0.00489,0.62134,0.54163,0.54523,0.25635,1.69966,1.1765,0.01309,0.00066571,0.00066571,0.00066571
2,132.592,2.08107,0.98048,0.00553,0.59699,0.47145,0.5014,0.23955,1.76877,0.99278,0.01338,0.00131919,0.00131919,0.00131919
3,192.681,2.08855,0.90197,0.005,0.63636,0.55511,0.58026,0.28,1.72259,0.97989,0.01341,0.00195946,0.00195946,0.00195946
4,252.752,2.03263,0.88848,0.00538,0.58196,0.57313,0.57192,0.28934,1.63872,0.94857,0.01202,0.0019406,0.0019406,0.0019406
5,312.819,1.96469,0.84374,0.00526,0.6321,0.60227,0.6222,0.30712,1.73394,0.87452,0.01413,0.0019208,0.0019208,0.0019208
6,372.815,1.89925,0.80742,0.00499,0.68508,0.61954,0.6582,0.34342,1.51076,0.73686,0.01127,0.001901,0.001901,0.001901
7,432.854,1.87219,0.78875,0.00473,0.68904,0.60305,0.6531,0.33695,1.54564,0.78355,0.01168,0.0018812,0.0018812,0.0018812
8,492.752,1.85198,0.77554,0.00451,0.67043,0.62198,0.6591,0.33453,1.57953,0.80032,0.01218,0.0018614,0.0018614,0.0018614
9,552.539,1.85338,0.77674,0.00445,0.67454,0.61588,0.65923,0.33819,1.51879,0.69235,0.01139,0.0018416,0.0018416,0.0018416
10,612.583,1.79062,0.7525,0.0046,0.67458,0.61679,0.66404,0.35223,1.5215,0.71295,0.01197,0.0018218,0.0018218,0.0018218
11,672.609,1.78853,0.75701,0.00481,0.64131,0.60977,0.64549,0.33372,1.55041,0.73334,0.01147,0.001802,0.001802,0.001802
12,732.571,1.78245,0.75381,0.00464,0.70804,0.66687,0.70138,0.34838,1.55744,0.77725,0.0114,0.0017822,0.0017822,0.0017822
13,792.539,1.7942,0.74016,0.00436,0.69386,0.66168,0.69193,0.36413,1.44351,0.79075,0.01086,0.0017624,0.0017624,0.0017624
14,852.671,1.72093,0.71562,0.00427,0.68185,0.62809,0.67074,0.35648,1.51697,0.73815,0.01152,0.0017426,0.0017426,0.0017426
15,912.558,1.71315,0.72113,0.00425,0.68385,0.66107,0.70025,0.37741,1.40315,0.69806,0.01006,0.0017228,0.0017228,0.0017228
16,972.676,1.68505,0.7127,0.00426,0.68072,0.64244,0.69349,0.37139,1.40229,0.74459,0.0101,0.001703,0.001703,0.001703
17,1033.06,1.71947,0.70979,0.00404,0.65,0.65099,0.68127,0.3677,1.39512,0.69924,0.01008,0.0016832,0.0016832,0.0016832
18,1093.02,1.64962,0.69106,0.00446,0.6865,0.68183,0.70466,0.37614,1.38893,0.7161,0.00988,0.0016634,0.0016634,0.0016634
19,1152.95,1.68425,0.71599,0.00374,0.69672,0.66849,0.7097,0.37672,1.4089,0.67498,0.00987,0.0016436,0.0016436,0.0016436
20,1213.07,1.65659,0.70177,0.00404,0.64064,0.6455,0.66723,0.36588,1.40352,0.75315,0.01016,0.0016238,0.0016238,0.0016238
21,1273.04,1.68593,0.70902,0.00397,0.70506,0.66687,0.70986,0.38569,1.36448,0.72821,0.00999,0.001604,0.001604,0.001604
22,1332.98,1.64498,0.68655,0.00381,0.70568,0.66331,0.71562,0.38681,1.39811,0.64752,0.01039,0.0015842,0.0015842,0.0015842
23,1393,1.65258,0.70724,0.00393,0.67888,0.66748,0.70526,0.38755,1.39014,0.65609,0.01025,0.0015644,0.0015644,0.0015644
24,1452.95,1.60154,0.69215,0.00408,0.70184,0.6745,0.71421,0.38759,1.40013,0.67556,0.01046,0.0015446,0.0015446,0.0015446
25,1512.84,1.64353,0.67442,0.00372,0.70955,0.67655,0.73266,0.40014,1.33863,0.70869,0.0095,0.0015248,0.0015248,0.0015248
26,1572.9,1.60385,0.68964,0.00384,0.67636,0.67322,0.71625,0.39788,1.29476,0.63409,0.00903,0.001505,0.001505,0.001505
27,1632.75,1.58416,0.66759,0.00397,0.68977,0.67552,0.71603,0.3987,1.34532,0.63465,0.00951,0.0014852,0.0014852,0.0014852
28,1692.54,1.56078,0.66675,0.00376,0.72103,0.68489,0.73617,0.41466,1.36049,0.63989,0.01036,0.0014654,0.0014654,0.0014654
29,1752.66,1.61095,0.67734,0.00354,0.68525,0.66875,0.71672,0.40232,1.34402,0.65694,0.00942,0.0014456,0.0014456,0.0014456
30,1812.62,1.53592,0.64235,0.00369,0.67931,0.64733,0.70341,0.39029,1.32992,0.65886,0.00934,0.0014258,0.0014258,0.0014258
31,1872.46,1.58402,0.65418,0.00354,0.72076,0.68916,0.74017,0.40548,1.37356,0.63908,0.01025,0.001406,0.001406,0.001406
32,1932.33,1.56666,0.6633,0.00364,0.69877,0.67218,0.73351,0.40791,1.30629,0.66245,0.00955,0.0013862,0.0013862,0.0013862
33,1992.26,1.56965,0.65222,0.00365,0.69313,0.68485,0.73865,0.4087,1.36232,0.60843,0.00988,0.0013664,0.0013664,0.0013664
34,2052.22,1.58261,0.66249,0.00337,0.70752,0.6629,0.7214,0.40399,1.31636,0.64025,0.0093,0.0013466,0.0013466,0.0013466
