epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.232,1.21741,1.64715,0.00646,0.93046,0.88569,0.94299,0.64898,1.58032,0.91593,0.0153,0.000665598,0.000665598,0.000665598
2,122.525,1.31556,0.73059,0.0074,0.92857,0.86643,0.93651,0.66276,1.46575,0.92866,0.0139,0.00131908,0.00131908,0.00131908
3,178.027,1.34241,0.73044,0.00742,0.92397,0.89953,0.92962,0.64281,1.4919,0.92436,0.01419,0.00195935,0.00195935,0.00195935
4,235.636,1.31686,0.68658,0.00741,0.89899,0.87312,0.92922,0.66415,1.52902,1.24018,0.01463,0.0019406,0.0019406,0.0019406
5,291.698,1.28918,0.65019,0.00739,0.92357,0.89986,0.95383,0.69683,1.37564,0.82982,0.01267,0.0019208,0.0019208,0.0019208
6,347.829,1.26571,0.62751,0.00699,0.94984,0.92199,0.96207,0.69236,1.34255,0.67079,0.01237,0.001901,0.001901,0.001901
7,403.729,1.20926,0.57552,0.00669,0.94801,0.90544,0.95829,0.70547,1.39453,0.66042,0.01311,0.0018812,0.0018812,0.0018812
8,459.742,1.17969,0.53385,0.00644,0.9673,0.91489,0.96678,0.72887,1.28176,0.62701,0.01189,0.0018614,0.0018614,0.0018614
9,520.971,1.1703,0.53401,0.00637,0.93565,0.91097,0.9608,0.69364,1.39358,0.73015,0.01293,0.0018416,0.0018416,0.0018416
10,576.919,1.14801,0.54212,0.00624,0.93247,0.90544,0.96041,0.69735,1.37433,0.70347,0.01303,0.0018218,0.0018218,0.0018218
11,633.682,1.15135,0.52404,0.00622,0.95903,0.91135,0.9656,0.73502,1.24317,0.59892,0.01103,0.001802,0.001802,0.001802
12,689.394,1.1138,0.51136,0.00636,0.95118,0.92908,0.96155,0.70767,1.30539,0.62951,0.01233,0.0017822,0.0017822,0.0017822
13,745.514,1.10112,0.48941,0.00616,0.94615,0.92435,0.96808,0.73663,1.26709,0.59556,0.01183,0.0017624,0.0017624,0.0017624
14,801.628,1.08028,0.48737,0.00581,0.93768,0.92481,0.96216,0.72996,1.24718,0.62523,0.01103,0.0017426,0.0017426,0.0017426
15,857.516,1.09698,0.48991,0.00562,0.95434,0.93144,0.96483,0.71969,1.2457,0.60752,0.01112,0.0017228,0.0017228,0.0017228
16,912.994,1.06199,0.47258,0.00553,0.95112,0.91608,0.96235,0.7301,1.26377,0.61029,0.01156,0.001703,0.001703,0.001703
17,971.802,1.06351,0.45605,0.00575,0.9595,0.92415,0.96506,0.74432,1.23069,0.57999,0.01085,0.0016832,0.0016832,0.0016832
18,1030.06,1.06299,0.47269,0.00572,0.96091,0.9279,0.96859,0.73564,1.24344,0.56607,0.01086,0.0016634,0.0016634,0.0016634
19,1088.9,1.03707,0.47637,0.00523,0.9652,0.91792,0.96906,0.75123,1.19052,0.59764,0.01047,0.0016436,0.0016436,0.0016436
20,1148.72,1.05576,0.45939,0.00576,0.95626,0.92908,0.96873,0.73724,1.24323,0.58968,0.01176,0.0016238,0.0016238,0.0016238
21,1208.21,1.04542,0.46083,0.0056,0.94541,0.92126,0.96057,0.74334,1.20496,0.59937,0.01072,0.001604,0.001604,0.001604
22,1265.49,1.0326,0.43785,0.00532,0.95065,0.93365,0.96742,0.75507,1.19098,0.57837,0.01059,0.0015842,0.0015842,0.0015842
23,1322.81,1.01293,0.44119,0.0052,0.95145,0.9279,0.97091,0.74081,1.20339,0.5917,0.01065,0.0015644,0.0015644,0.0015644
24,1380.08,1.00665,0.44117,0.00549,0.95102,0.93735,0.96571,0.73101,1.20328,0.62487,0.01068,0.0015446,0.0015446,0.0015446
25,1436.67,1.00891,0.43524,0.00549,0.95489,0.92573,0.97135,0.74381,1.16941,0.59048,0.01024,0.0015248,0.0015248,0.0015248
26,1493.89,1.02718,0.44779,0.00546,0.94949,0.93026,0.9708,0.74949,1.16447,0.58075,0.01033,0.001505,0.001505,0.001505
27,1549.6,1.01968,0.43277,0.00548,0.96821,0.93604,0.97213,0.75216,1.16192,0.56842,0.01007,0.0014852,0.0014852,0.0014852
28,1605.41,0.98305,0.43823,0.00535,0.94754,0.94681,0.97102,0.75994,1.14664,0.58431,0.01035,0.0014654,0.0014654,0.0014654
29,1660.92,0.97788,0.42152,0.00502,0.96714,0.93026,0.96939,0.768,1.18388,0.58178,0.01097,0.0014456,0.0014456,0.0014456
30,1716.36,0.97737,0.41888,0.00506,0.96826,0.93761,0.97807,0.76286,1.12617,0.54497,0.00967,0.0014258,0.0014258,0.0014258
31,1771.92,0.97881,0.41572,0.00519,0.96369,0.94799,0.97352,0.74544,1.15205,0.58042,0.01022,0.001406,0.001406,0.001406
