epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.728,1.47512,2.77221,0.01253,0.72888,0.55292,0.62809,0.29801,1.87096,1.67426,0.02104,0.00066538,0.00066538,0.00066538
2,101.845,1.65225,1.19026,0.01514,0.82509,0.68583,0.78315,0.43422,1.5945,0.98087,0.0167,0.00131886,0.00131886,0.00131886
3,147.709,1.69899,1.17157,0.01542,0.86075,0.70567,0.78764,0.44625,1.63399,0.98668,0.01728,0.00195914,0.00195914,0.00195914
4,193.291,1.68376,1.05914,0.01492,0.81975,0.79433,0.83348,0.45384,1.66574,1.05391,0.01802,0.0019406,0.0019406,0.0019406
5,238.871,1.62325,1.00427,0.01491,0.84734,0.76764,0.83503,0.48228,1.54049,0.84085,0.01645,0.0019208,0.0019208,0.0019208
6,284.47,1.6234,0.97333,0.01433,0.85096,0.73759,0.77639,0.448,1.61116,1.06981,0.01764,0.001901,0.001901,0.001901
7,330.32,1.57217,0.92286,0.01428,0.86193,0.79692,0.86706,0.52906,1.47103,0.75928,0.01527,0.0018812,0.0018812,0.0018812
8,376.05,1.54903,0.8428,0.0138,0.8892,0.82529,0.89501,0.53835,1.4884,0.67357,0.0154,0.0018614,0.0018614,0.0018614
9,421.938,1.51428,0.83792,0.01319,0.88862,0.81915,0.89053,0.53689,1.50533,0.75266,0.01572,0.0018416,0.0018416,0.0018416
10,467.709,1.50765,0.84242,0.01305,0.87688,0.8156,0.85781,0.49818,1.53442,0.7703,0.01577,0.0018218,0.0018218,0.0018218
11,513.506,1.49791,0.82279,0.01306,0.87858,0.84752,0.91199,0.54273,1.44932,0.81907,0.01468,0.001802,0.001802,0.001802
12,559.122,1.49561,0.80385,0.01312,0.8968,0.8156,0.87232,0.53316,1.43731,0.73557,0.0147,0.0017822,0.0017822,0.0017822
