epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6717,2.22186,2.67642,0.00315,0.5555,0.43769,0.44658,0.21258,1.52761,3.91762,0.00808,0.000662857,0.000662857,0.000662857
2,53.1362,2.15144,1.54636,0.003,0.59174,0.49588,0.51532,0.25386,1.56044,1.42521,0.00893,0.00131636,0.00131636,0.00131636
3,73.2126,2.20936,1.20402,0.00301,0.61534,0.54317,0.54456,0.25861,1.59351,0.91221,0.00971,0.00195667,0.00195667,0.00195667
4,92.9072,2.18314,1.03687,0.00309,0.64964,0.5424,0.56517,0.26802,1.65262,0.94349,0.01115,0.0019406,0.0019406,0.0019406
5,112.556,2.12006,0.94096,0.00286,0.65669,0.58382,0.61331,0.30766,1.54173,0.93099,0.0094,0.0019208,0.0019208,0.0019208
6,132.328,2.11233,0.90593,0.0028,0.66396,0.61115,0.6448,0.32367,1.48276,0.7892,0.00851,0.001901,0.001901,0.001901
7,151.762,2.07525,0.88937,0.00272,0.66275,0.59359,0.64137,0.34076,1.4124,0.78825,0.00805,0.0018812,0.0018812,0.0018812
8,171.577,2.0653,0.85749,0.00268,0.67904,0.59884,0.64225,0.34509,1.42318,0.79544,0.00806,0.0018614,0.0018614,0.0018614
9,191.232,2.04815,0.85111,0.00265,0.66819,0.56885,0.62908,0.34547,1.46207,0.80603,0.00911,0.0018416,0.0018416,0.0018416
10,210.9,2.03983,0.8395,0.00281,0.66091,0.58739,0.62948,0.33255,1.48958,0.77116,0.00913,0.0018218,0.0018218,0.0018218
11,230.516,2.00417,0.82249,0.00254,0.67343,0.63756,0.67459,0.35979,1.49805,0.71421,0.01028,0.001802,0.001802,0.001802
12,250.256,1.98372,0.80341,0.00258,0.68543,0.60244,0.65919,0.35388,1.44186,0.78291,0.00895,0.0017822,0.0017822,0.0017822
13,269.811,1.92116,0.80811,0.00263,0.64195,0.63067,0.66032,0.36356,1.47414,0.7801,0.00974,0.0017624,0.0017624,0.0017624
14,289.301,1.97448,0.80941,0.00256,0.70931,0.64855,0.68289,0.35397,1.491,0.74179,0.00979,0.0017426,0.0017426,0.0017426
15,308.868,1.9084,0.79808,0.00254,0.71193,0.62901,0.68927,0.37419,1.39272,0.73005,0.00837,0.0017228,0.0017228,0.0017228
16,328.533,1.89169,0.78233,0.00244,0.66346,0.6571,0.68215,0.36318,1.40404,0.72388,0.00843,0.001703,0.001703,0.001703
17,348.084,1.93984,0.79476,0.00246,0.70355,0.61863,0.67919,0.37287,1.44417,0.72581,0.0093,0.0016832,0.0016832,0.0016832
18,367.853,1.89668,0.78103,0.00238,0.69081,0.64916,0.69169,0.37369,1.35444,0.70941,0.00783,0.0016634,0.0016634,0.0016634
19,387.568,1.90337,0.78274,0.00243,0.67812,0.65551,0.68521,0.38076,1.34103,0.73849,0.00786,0.0016436,0.0016436,0.0016436
20,407.492,1.93618,0.78841,0.00241,0.67162,0.63634,0.67269,0.3745,1.34121,0.75229,0.00791,0.0016238,0.0016238,0.0016238
21,427.018,1.85426,0.7623,0.00241,0.70448,0.66046,0.70272,0.36593,1.38491,0.80191,0.0082,0.001604,0.001604,0.001604
22,446.893,1.9136,0.79425,0.00248,0.69932,0.65038,0.69047,0.38471,1.34105,0.70113,0.00821,0.0015842,0.0015842,0.0015842
23,466.581,1.86578,0.77662,0.00243,0.68474,0.65326,0.69766,0.38405,1.34773,0.67328,0.00787,0.0015644,0.0015644,0.0015644
24,486.28,1.88154,0.78442,0.00239,0.69719,0.65663,0.70075,0.38521,1.35495,0.73193,0.00793,0.0015446,0.0015446,0.0015446
25,506.162,1.88188,0.77349,0.00235,0.6977,0.66595,0.69982,0.391,1.34152,0.759,0.0082,0.0015248,0.0015248,0.0015248
26,525.993,1.83079,0.75118,0.00244,0.69395,0.64874,0.69477,0.39246,1.3295,0.73566,0.00824,0.001505,0.001505,0.001505
27,545.555,1.8198,0.75077,0.00229,0.66376,0.66484,0.69213,0.38735,1.3102,0.71094,0.0077,0.0014852,0.0014852,0.0014852
28,565.591,1.86742,0.77123,0.00231,0.70037,0.65449,0.70557,0.39104,1.29743,0.72192,0.00737,0.0014654,0.0014654,0.0014654
29,585.231,1.8213,0.75522,0.00228,0.69063,0.6574,0.70454,0.39276,1.32277,0.70927,0.00825,0.0014456,0.0014456,0.0014456
30,604.993,1.87066,0.77497,0.00229,0.68976,0.66056,0.70226,0.38933,1.34285,0.70619,0.00814,0.0014258,0.0014258,0.0014258
31,624.803,1.80124,0.75179,0.0022,0.68969,0.66748,0.69997,0.39017,1.28956,0.71864,0.00755,0.001406,0.001406,0.001406
32,644.638,1.84424,0.75879,0.00225,0.69204,0.65985,0.7161,0.40474,1.2976,0.68867,0.00788,0.0013862,0.0013862,0.0013862
33,664.225,1.84882,0.77001,0.0022,0.69075,0.66635,0.70864,0.39971,1.2941,0.70407,0.00765,0.0013664,0.0013664,0.0013664
34,683.968,1.86461,0.76892,0.00218,0.71595,0.64305,0.71434,0.40198,1.27653,0.70568,0.00744,0.0013466,0.0013466,0.0013466
35,703.636,1.79007,0.74707,0.00219,0.66103,0.66809,0.70387,0.39839,1.31304,0.70986,0.00773,0.0013268,0.0013268,0.0013268
36,723.231,1.80717,0.76255,0.00218,0.69272,0.67206,0.71934,0.40491,1.2687,0.7219,0.00749,0.001307,0.001307,0.001307
37,743.04,1.80904,0.76785,0.00219,0.71349,0.67902,0.72551,0.39815,1.31358,0.68429,0.00781,0.0012872,0.0012872,0.0012872
38,762.788,1.78407,0.74264,0.00216,0.66806,0.66504,0.70183,0.39805,1.27652,0.71181,0.00749,0.0012674,0.0012674,0.0012674
39,782.469,1.7846,0.75676,0.00209,0.72304,0.67115,0.73064,0.40899,1.26432,0.69001,0.00756,0.0012476,0.0012476,0.0012476
40,802.414,1.79036,0.75114,0.00218,0.69778,0.6796,0.71614,0.40275,1.27635,0.71248,0.00764,0.0012278,0.0012278,0.0012278
