epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8158,1.1404,3.12576,0.0041,0.82116,0.82498,0.87719,0.62522,1.28408,4.69723,0.01112,0.000662393,0.000662393,0.000662393
2,42.6409,1.15241,1.56374,0.00434,0.91509,0.86643,0.93037,0.69611,1.14515,1.45333,0.00966,0.0013159,0.0013159,0.0013159
3,60.3173,1.17555,1.00914,0.00463,0.91966,0.85239,0.93299,0.64877,1.27055,0.86839,0.01071,0.00195621,0.00195621,0.00195621
4,78.1244,1.11761,0.73385,0.00434,0.92705,0.8712,0.93959,0.67358,1.28974,0.82049,0.01118,0.0019406,0.0019406,0.0019406
5,96.3194,1.11277,0.62302,0.00443,0.93532,0.88771,0.94729,0.67797,1.24578,0.76618,0.01091,0.0019208,0.0019208,0.0019208
6,113.961,1.08618,0.56401,0.00439,0.9607,0.87825,0.96019,0.7145,1.18601,0.70101,0.00995,0.001901,0.001901,0.001901
7,133.024,1.09047,0.5394,0.00434,0.94057,0.91371,0.95811,0.72,1.25189,0.64026,0.01139,0.0018812,0.0018812,0.0018812
8,150.869,1.07608,0.50372,0.00426,0.93993,0.9248,0.96124,0.73416,1.1791,0.64005,0.01038,0.0018614,0.0018614,0.0018614
9,168.417,1.03808,0.47712,0.00406,0.92396,0.93355,0.95788,0.71833,1.2491,0.69196,0.01121,0.0018416,0.0018416,0.0018416
10,186.01,1.02848,0.45871,0.00406,0.94373,0.91188,0.95437,0.72772,1.19921,0.70869,0.01074,0.0018218,0.0018218,0.0018218
11,203.642,1.00828,0.44023,0.00408,0.9482,0.93038,0.96054,0.71614,1.20922,0.64544,0.01062,0.001802,0.001802,0.001802
12,221.59,1.01705,0.44803,0.00407,0.95888,0.91962,0.96699,0.74569,1.11627,0.64123,0.00968,0.0017822,0.0017822,0.0017822
13,239.409,0.98552,0.42337,0.00382,0.94168,0.90426,0.95641,0.7311,1.14897,0.64716,0.00969,0.0017624,0.0017624,0.0017624
14,258.525,0.97392,0.42304,0.0038,0.93738,0.92553,0.96309,0.71711,1.15452,0.63953,0.00988,0.0017426,0.0017426,0.0017426
15,276.357,1.00169,0.43873,0.00411,0.94857,0.91561,0.96125,0.73127,1.17171,0.65342,0.00993,0.0017228,0.0017228,0.0017228
16,293.551,0.97453,0.42426,0.00398,0.9358,0.91318,0.96432,0.74658,1.09723,0.69194,0.00912,0.001703,0.001703,0.001703
17,311.432,0.98503,0.4235,0.00403,0.94808,0.91135,0.96216,0.72982,1.19054,0.67154,0.01015,0.0016832,0.0016832,0.0016832
18,329.489,0.97779,0.40186,0.00406,0.9382,0.92553,0.96343,0.73889,1.2049,0.6704,0.01072,0.0016634,0.0016634,0.0016634
19,347.648,0.94859,0.38973,0.00373,0.95816,0.92553,0.96675,0.75178,1.14936,0.65753,0.00979,0.0016436,0.0016436,0.0016436
20,365.756,0.92787,0.39283,0.00371,0.9483,0.93735,0.97095,0.75344,1.13543,0.61256,0.01005,0.0016238,0.0016238,0.0016238
21,383.837,0.93259,0.38066,0.00374,0.95666,0.94208,0.97121,0.7501,1.08483,0.56659,0.00908,0.001604,0.001604,0.001604
22,401.96,0.94041,0.38031,0.00389,0.95826,0.91253,0.96914,0.7519,1.15759,0.62935,0.01003,0.0015842,0.0015842,0.0015842
23,420.161,0.93879,0.38429,0.00374,0.9645,0.93137,0.97346,0.76922,1.16488,0.5947,0.01012,0.0015644,0.0015644,0.0015644
24,438.199,0.92408,0.36653,0.00384,0.94498,0.93394,0.9724,0.75981,1.10919,0.57101,0.00944,0.0015446,0.0015446,0.0015446
25,456.404,0.95609,0.38875,0.00402,0.95106,0.94175,0.96938,0.75454,1.10573,0.56844,0.0093,0.0015248,0.0015248,0.0015248
26,476.326,0.92882,0.37969,0.00388,0.9542,0.93588,0.96983,0.74354,1.13072,0.62079,0.00976,0.001505,0.001505,0.001505
27,494.889,0.91644,0.3757,0.00371,0.92904,0.93499,0.9603,0.74114,1.16578,0.69971,0.0102,0.0014852,0.0014852,0.0014852
28,512.478,0.92527,0.36839,0.00383,0.96053,0.92041,0.97327,0.76041,1.12119,0.62228,0.00961,0.0014654,0.0014654,0.0014654
29,530.098,0.90665,0.36003,0.00374,0.94797,0.93617,0.96946,0.75074,1.12269,0.61724,0.00949,0.0014456,0.0014456,0.0014456
30,547.785,0.90711,0.35818,0.00362,0.96025,0.9409,0.97456,0.76624,1.08043,0.58783,0.00899,0.0014258,0.0014258,0.0014258
31,566.923,0.89965,0.35395,0.00365,0.94875,0.93735,0.96936,0.74805,1.08568,0.62052,0.009,0.001406,0.001406,0.001406
32,585.471,0.8906,0.34789,0.00357,0.97054,0.93456,0.97453,0.77737,1.06536,0.60494,0.00864,0.0013862,0.0013862,0.0013862
