epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0157,1.16426,5.56075,0.009,0.73868,0.64153,0.75243,0.49913,1.17386,5.93604,0.01104,0.000661538,0.000661538,0.000661538
2,39.1513,1.26127,3.06216,0.00981,0.68422,0.74113,0.78606,0.51296,1.25264,1.77881,0.01212,0.00131506,0.00131506,0.00131506
3,52.6911,1.34859,1.74913,0.01051,0.80532,0.7628,0.83622,0.50263,1.40121,1.01693,0.01389,0.00195537,0.00195537,0.00195537
4,65.9128,1.34957,1.26153,0.01055,0.80057,0.76867,0.8343,0.5375,1.29,0.93277,0.01201,0.0019406,0.0019406,0.0019406
5,79.2905,1.35487,1.01461,0.0105,0.79315,0.80223,0.82324,0.51488,1.36455,0.94582,0.01361,0.0019208,0.0019208,0.0019208
6,92.5903,1.3126,0.92338,0.01017,0.87919,0.78369,0.84912,0.54765,1.32804,0.81988,0.01302,0.001901,0.001901,0.001901
7,105.882,1.27322,0.8598,0.01008,0.87491,0.81206,0.86375,0.549,1.25528,0.8116,0.01217,0.0018812,0.0018812,0.0018812
8,119.216,1.26215,0.84504,0.0097,0.86569,0.77305,0.84159,0.53964,1.30331,0.93607,0.0121,0.0018614,0.0018614,0.0018614
9,132.618,1.27162,0.79004,0.01005,0.8737,0.78499,0.87047,0.57303,1.25437,0.79035,0.01199,0.0018416,0.0018416,0.0018416
10,145.922,1.23335,0.71524,0.00997,0.86155,0.83856,0.89315,0.59016,1.33708,0.74517,0.01231,0.0018218,0.0018218,0.0018218
11,159.265,1.24432,0.69968,0.00976,0.86813,0.85816,0.91,0.59073,1.33369,0.70775,0.01229,0.001802,0.001802,0.001802
12,172.587,1.24262,0.71788,0.0099,0.86271,0.80218,0.87412,0.55442,1.34027,0.76871,0.0129,0.0017822,0.0017822,0.0017822
13,185.69,1.25528,0.67515,0.00952,0.90444,0.83911,0.89911,0.56336,1.40164,0.70335,0.01336,0.0017624,0.0017624,0.0017624
14,199.053,1.23561,0.70438,0.00976,0.86315,0.79433,0.86792,0.56659,1.23995,0.74031,0.01213,0.0017426,0.0017426,0.0017426
15,212.11,1.20485,0.66338,0.00889,0.90626,0.85708,0.89982,0.60709,1.19662,0.69724,0.01095,0.0017228,0.0017228,0.0017228
16,225.451,1.22167,0.64093,0.00966,0.86566,0.86832,0.90207,0.60593,1.24662,0.66896,0.01136,0.001703,0.001703,0.001703
17,238.707,1.20968,0.64374,0.00921,0.911,0.83482,0.8997,0.59985,1.20668,0.71366,0.01132,0.0016832,0.0016832,0.0016832
18,252.154,1.21699,0.66002,0.00956,0.92831,0.82979,0.90118,0.60425,1.20926,0.71652,0.01081,0.0016634,0.0016634,0.0016634
19,265.422,1.1698,0.63315,0.00897,0.8864,0.85777,0.89491,0.59712,1.24902,0.69368,0.01139,0.0016436,0.0016436,0.0016436
20,278.747,1.1738,0.61629,0.00874,0.85539,0.85106,0.89945,0.61188,1.1797,0.67027,0.01113,0.0016238,0.0016238,0.0016238
21,291.965,1.17206,0.58197,0.00913,0.90288,0.84397,0.90218,0.59895,1.31172,0.64814,0.01297,0.001604,0.001604,0.001604
22,305.385,1.16928,0.6147,0.00886,0.86316,0.84996,0.89969,0.61493,1.21944,0.67821,0.01116,0.0015842,0.0015842,0.0015842
23,318.632,1.15443,0.60815,0.00877,0.86072,0.85816,0.88419,0.61493,1.11201,0.70304,0.00989,0.0015644,0.0015644,0.0015644
24,331.945,1.15257,0.57739,0.00888,0.92301,0.8156,0.91626,0.61088,1.22073,0.67271,0.01141,0.0015446,0.0015446,0.0015446
25,345.235,1.17779,0.59237,0.00884,0.91661,0.85755,0.9088,0.60752,1.21961,0.73153,0.01118,0.0015248,0.0015248,0.0015248
26,358.569,1.16451,0.58052,0.00892,0.86139,0.87943,0.90402,0.60788,1.22682,0.7094,0.01147,0.001505,0.001505,0.001505
27,371.861,1.12808,0.56148,0.00891,0.90479,0.84248,0.90673,0.5933,1.26471,0.70063,0.01224,0.0014852,0.0014852,0.0014852
28,385.058,1.13117,0.55849,0.00867,0.88536,0.82161,0.90699,0.62155,1.19629,0.64626,0.01118,0.0014654,0.0014654,0.0014654
29,398.336,1.11347,0.55681,0.0083,0.89096,0.84025,0.90774,0.63478,1.18387,0.65459,0.01057,0.0014456,0.0014456,0.0014456
30,411.575,1.13957,0.53878,0.00894,0.88994,0.85816,0.90764,0.6321,1.16137,0.64759,0.01098,0.0014258,0.0014258,0.0014258
31,424.894,1.11118,0.54513,0.00843,0.89725,0.86707,0.91097,0.62956,1.12174,0.66444,0.0101,0.001406,0.001406,0.001406
32,438.151,1.11295,0.51876,0.00864,0.933,0.88891,0.92429,0.62553,1.22914,0.61055,0.01124,0.0013862,0.0013862,0.0013862
33,451.497,1.11156,0.54669,0.00827,0.85176,0.87616,0.92514,0.65215,1.11255,0.62918,0.00995,0.0013664,0.0013664,0.0013664
34,464.831,1.07546,0.55806,0.00835,0.85728,0.86879,0.91001,0.64864,1.11037,0.63555,0.01017,0.0013466,0.0013466,0.0013466
35,478.121,1.08761,0.54999,0.00823,0.88541,0.84938,0.91631,0.65625,1.09343,0.64033,0.00986,0.0013268,0.0013268,0.0013268
36,491.495,1.09146,0.53717,0.00826,0.90725,0.85461,0.91985,0.65348,1.11913,0.64599,0.01051,0.001307,0.001307,0.001307
37,504.708,1.07268,0.51997,0.00805,0.91183,0.89007,0.92583,0.64348,1.08201,0.62616,0.00966,0.0012872,0.0012872,0.0012872
38,517.824,1.10502,0.52012,0.0084,0.85375,0.84043,0.88693,0.62034,1.20476,0.69817,0.01097,0.0012674,0.0012674,0.0012674
39,531.19,1.05955,0.52458,0.00804,0.87029,0.86525,0.91544,0.64212,1.14922,0.64473,0.01083,0.0012476,0.0012476,0.0012476
40,544.48,1.07573,0.52587,0.0079,0.92144,0.87343,0.93001,0.66304,1.10009,0.64131,0.00998,0.0012278,0.0012278,0.0012278
41,557.852,1.05087,0.50882,0.00806,0.91065,0.86525,0.92502,0.66055,1.08929,0.61793,0.00977,0.001208,0.001208,0.001208
