epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0199,2.68393,1.71044,0.00503,0.47968,0.49023,0.401,0.13216,1.80598,1.15865,0.01335,0.000664414,0.000664414,0.000664414
2,67.2688,2.67074,1.20302,0.00512,0.53025,0.5356,0.47603,0.16905,1.75291,0.94713,0.01239,0.0013179,0.0013179,0.0013179
3,94.5013,2.57613,1.14967,0.00555,0.58798,0.55478,0.53311,0.20081,1.78421,0.95724,0.01311,0.00195819,0.00195819,0.00195819
4,121.879,2.52075,1.11757,0.00537,0.51564,0.54851,0.48562,0.1829,1.7537,0.90896,0.01242,0.0019406,0.0019406,0.0019406
5,148.835,2.52389,1.08505,0.0049,0.56108,0.55957,0.53289,0.2102,1.64461,0.82467,0.01167,0.0019208,0.0019208,0.0019208
6,175.889,2.47697,1.03437,0.00491,0.56437,0.58982,0.54284,0.20502,1.72096,0.91041,0.01305,0.001901,0.001901,0.001901
7,202.669,2.44531,1.03569,0.00515,0.56602,0.58392,0.54691,0.22982,1.64302,0.82019,0.01166,0.0018812,0.0018812,0.0018812
8,229.759,2.43756,1.04347,0.00457,0.59795,0.57285,0.56452,0.23232,1.62025,0.84617,0.01148,0.0018614,0.0018614,0.0018614
9,256.674,2.36434,1.01694,0.00469,0.63628,0.59173,0.56634,0.23387,1.62462,0.85758,0.01119,0.0018416,0.0018416,0.0018416
10,283.717,2.34634,1.05547,0.00414,0.60027,0.59049,0.56238,0.23858,1.65184,0.8697,0.01268,0.0018218,0.0018218,0.0018218
11,311.034,2.33952,1.02135,0.00445,0.55932,0.53117,0.53556,0.21694,1.74191,0.9058,0.0132,0.001802,0.001802,0.001802
12,338.046,2.30361,1.01705,0.00491,0.58811,0.54187,0.55072,0.22771,1.62121,0.86189,0.01149,0.0017822,0.0017822,0.0017822
13,365.05,2.27094,0.96909,0.00481,0.58448,0.61195,0.59067,0.23489,1.5811,0.7742,0.011,0.0017624,0.0017624,0.0017624
14,392.183,2.27925,0.99331,0.00415,0.60342,0.61048,0.5926,0.25465,1.55321,0.75742,0.01083,0.0017426,0.0017426,0.0017426
15,419.454,2.25672,0.97114,0.00408,0.61702,0.6197,0.60019,0.25866,1.57232,0.78337,0.01109,0.0017228,0.0017228,0.0017228
16,446.493,2.25651,0.99675,0.0039,0.60701,0.58684,0.60047,0.26237,1.52175,0.73559,0.0106,0.001703,0.001703,0.001703
17,473.726,2.21183,0.96722,0.00432,0.58702,0.59091,0.57141,0.24007,1.55152,0.81033,0.01075,0.0016832,0.0016832,0.0016832
18,500.971,2.22906,0.97417,0.00407,0.62999,0.62113,0.60496,0.27079,1.48102,0.76001,0.01014,0.0016634,0.0016634,0.0016634
19,528.135,2.23802,0.96191,0.00429,0.60216,0.63871,0.60727,0.26283,1.50027,0.78595,0.01125,0.0016436,0.0016436,0.0016436
20,555.06,2.1977,0.95856,0.00435,0.59695,0.63645,0.62359,0.27098,1.4711,0.77029,0.0097,0.0016238,0.0016238,0.0016238
21,582.061,2.17371,0.9549,0.00413,0.62193,0.63667,0.61825,0.27098,1.51124,0.77331,0.0104,0.001604,0.001604,0.001604
22,609.277,2.20237,0.97193,0.00408,0.58921,0.63261,0.60174,0.26321,1.50941,0.73489,0.0107,0.0015842,0.0015842,0.0015842
23,636.274,2.16312,0.94239,0.00419,0.59542,0.61675,0.59542,0.25927,1.62043,0.77477,0.01254,0.0015644,0.0015644,0.0015644
24,663.35,2.13467,0.9521,0.00422,0.60625,0.61678,0.60897,0.27129,1.46731,0.74717,0.01074,0.0015446,0.0015446,0.0015446
25,690.295,2.15396,0.94175,0.00419,0.601,0.63261,0.60138,0.26556,1.50971,0.79001,0.01029,0.0015248,0.0015248,0.0015248
26,717.267,2.18932,0.97048,0.00396,0.60475,0.61574,0.60312,0.25973,1.49195,0.73269,0.01031,0.001505,0.001505,0.001505
27,744.209,2.15551,0.94531,0.00379,0.58556,0.64662,0.61091,0.27183,1.46166,0.75299,0.01,0.0014852,0.0014852,0.0014852
28,771.163,2.14604,0.9543,0.00372,0.63123,0.62633,0.62497,0.27566,1.41854,0.7906,0.00941,0.0014654,0.0014654,0.0014654
29,798.466,2.15229,0.95885,0.00368,0.59676,0.61686,0.6091,0.27697,1.43962,0.76506,0.00976,0.0014456,0.0014456,0.0014456
30,825.387,2.09443,0.94519,0.00389,0.59559,0.60421,0.60949,0.27751,1.46423,0.78637,0.01038,0.0014258,0.0014258,0.0014258
31,852.501,2.14472,0.93545,0.00403,0.59317,0.63249,0.62885,0.2822,1.46086,0.72304,0.00997,0.001406,0.001406,0.001406
32,879.589,2.06693,0.92115,0.00395,0.63423,0.61343,0.62585,0.2822,1.36963,0.77268,0.00928,0.0013862,0.0013862,0.0013862
33,906.747,2.05854,0.91501,0.00406,0.6049,0.61306,0.60609,0.27685,1.38183,0.75751,0.00901,0.0013664,0.0013664,0.0013664
34,933.755,2.08621,0.9447,0.00382,0.61849,0.63627,0.6283,0.28058,1.42131,0.76757,0.00978,0.0013466,0.0013466,0.0013466
35,960.79,2.06738,0.94088,0.00367,0.61429,0.64183,0.62903,0.28619,1.45542,0.73551,0.00991,0.0013268,0.0013268,0.0013268
36,988.148,2.07191,0.92931,0.00371,0.62122,0.62129,0.6149,0.28235,1.36911,0.74183,0.00908,0.001307,0.001307,0.001307
37,1015.13,2.07283,0.92964,0.0038,0.616,0.63888,0.64312,0.29472,1.41655,0.73301,0.00995,0.0012872,0.0012872,0.0012872
38,1042.17,2.03035,0.92048,0.00364,0.61601,0.63888,0.62933,0.29651,1.34865,0.72802,0.00904,0.0012674,0.0012674,0.0012674
39,1069.32,2.07432,0.94596,0.00336,0.61896,0.62436,0.62598,0.29235,1.35068,0.74163,0.00906,0.0012476,0.0012476,0.0012476
40,1096.27,2.06692,0.9285,0.00351,0.61494,0.62486,0.62545,0.28287,1.42236,0.75056,0.00947,0.0012278,0.0012278,0.0012278
41,1123.18,2.06262,0.92886,0.00344,0.63638,0.63962,0.63685,0.29024,1.37421,0.74095,0.0091,0.001208,0.001208,0.001208
42,-13249.4,2.06239,0.93683,0.00329,0.58325,0.65871,0.62537,0.28932,1.39411,0.72073,0.00931,0.0011882,0.0011882,0.0011882
43,-13222.7,2.05063,0.91909,0.0034,0.61121,0.62686,0.62708,0.28358,1.36919,0.73811,0.00894,0.0011684,0.0011684,0.0011684
44,-13195.9,2.03487,0.9221,0.00346,0.62401,0.63187,0.64301,0.29831,1.33488,0.7595,0.00887,0.0011486,0.0011486,0.0011486
