epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3375,2.08971,1.20303,0.00349,0.64093,0.53191,0.56602,0.27971,1.63743,1.03183,0.01111,0.000664756,0.000664756,0.000664756
2,73.1741,2.10374,0.92368,0.00381,0.61852,0.54904,0.55968,0.27566,1.65814,1.08194,0.01074,0.00131824,0.00131824,0.00131824
3,104.206,2.11492,0.86413,0.00348,0.66338,0.61799,0.65955,0.33279,1.64994,0.80859,0.01129,0.00195853,0.00195853,0.00195853
4,135.038,2.07137,0.83784,0.00371,0.69111,0.58137,0.62753,0.30409,1.5901,0.81559,0.01024,0.0019406,0.0019406,0.0019406
5,165.705,2.06071,0.83099,0.00359,0.69845,0.61246,0.66176,0.32861,1.59111,0.83587,0.01039,0.0019208,0.0019208,0.0019208
6,196.407,1.99373,0.79815,0.00337,0.66582,0.61099,0.65179,0.33994,1.56671,0.77407,0.01015,0.001901,0.001901,0.001901
7,226.911,1.92091,0.78291,0.00357,0.66735,0.63328,0.67701,0.35657,1.50151,0.7301,0.01017,0.0018812,0.0018812,0.0018812
8,257.555,1.9333,0.7753,0.00313,0.66719,0.62626,0.65929,0.35462,1.46589,0.76707,0.00905,0.0018614,0.0018614,0.0018614
9,288.11,1.87709,0.76361,0.00318,0.67979,0.62229,0.68125,0.36457,1.46867,0.73055,0.00927,0.0018416,0.0018416,0.0018416
10,319.973,1.85738,0.77035,0.00317,0.70979,0.66467,0.70718,0.38562,1.49719,0.74695,0.01045,0.0018218,0.0018218,0.0018218
11,350.782,1.89788,0.76252,0.00299,0.72477,0.66992,0.71096,0.38151,1.42659,0.69507,0.00895,0.001802,0.001802,0.001802
12,381.692,1.81787,0.76224,0.00307,0.7003,0.68281,0.71631,0.38467,1.41525,0.75504,0.00948,0.0017822,0.0017822,0.0017822
13,412.404,1.8135,0.7552,0.00293,0.71511,0.67448,0.70884,0.37622,1.42187,0.72662,0.00889,0.0017624,0.0017624,0.0017624
14,442.929,1.82717,0.7408,0.00293,0.69204,0.66046,0.70196,0.38494,1.39723,0.67948,0.00894,0.0017426,0.0017426,0.0017426
15,473.676,1.81774,0.74478,0.00283,0.67825,0.65975,0.68899,0.37397,1.42955,0.7385,0.00895,0.0017228,0.0017228,0.0017228
16,504.192,1.7281,0.72178,0.00299,0.67308,0.65863,0.69549,0.38044,1.40755,0.70076,0.00942,0.001703,0.001703,0.001703
17,534.881,1.82041,0.7449,0.00306,0.68305,0.67237,0.71216,0.3883,1.3842,0.66701,0.00936,0.0016832,0.0016832,0.0016832
18,565.411,1.78893,0.74592,0.00283,0.68362,0.65713,0.70336,0.38026,1.42648,0.74883,0.00922,0.0016634,0.0016634,0.0016634
19,596.302,1.79074,0.73785,0.0027,0.71597,0.66348,0.72014,0.38715,1.37657,0.68084,0.00874,0.0016436,0.0016436,0.0016436
20,626.992,1.75011,0.73028,0.00286,0.66949,0.65557,0.6967,0.37404,1.43915,0.73101,0.00915,0.0016238,0.0016238,0.0016238
21,657.796,1.74164,0.71879,0.00273,0.67829,0.66748,0.70636,0.3912,1.40328,0.71828,0.00931,0.001604,0.001604,0.001604
22,688.487,1.72729,0.72179,0.00283,0.67557,0.65588,0.70221,0.38962,1.36254,0.68696,0.00915,0.0015842,0.0015842,0.0015842
23,719.168,1.75043,0.72923,0.00289,0.6962,0.68013,0.71668,0.3987,1.33779,0.70314,0.00837,0.0015644,0.0015644,0.0015644
24,749.878,1.73362,0.73958,0.00281,0.68617,0.67389,0.70996,0.4028,1.32249,0.67565,0.00848,0.0015446,0.0015446,0.0015446
25,780.61,1.69678,0.71406,0.0029,0.68389,0.68519,0.71971,0.39667,1.40063,0.72158,0.0089,0.0015248,0.0015248,0.0015248
26,811.353,1.70753,0.71615,0.00276,0.69195,0.68977,0.72168,0.39879,1.33106,0.70383,0.00857,0.001505,0.001505,0.001505
27,842.209,1.74436,0.73733,0.00272,0.68792,0.66097,0.7188,0.40807,1.33077,0.63483,0.00843,0.0014852,0.0014852,0.0014852
28,873.164,1.70578,0.71045,0.00268,0.68509,0.68336,0.71905,0.40139,1.32713,0.63535,0.00821,0.0014654,0.0014654,0.0014654
29,903.775,1.70776,0.72811,0.0027,0.6945,0.68025,0.72809,0.40694,1.35797,0.72888,0.00859,0.0014456,0.0014456,0.0014456
30,934.552,1.69191,0.72308,0.00281,0.6862,0.6844,0.73036,0.40922,1.36494,0.6638,0.0089,0.0014258,0.0014258,0.0014258
31,965.198,1.71538,0.70828,0.00263,0.70874,0.69099,0.73905,0.41577,1.32526,0.6281,0.00843,0.001406,0.001406,0.001406
32,995.969,1.69765,0.71068,0.00268,0.68448,0.68366,0.72012,0.40554,1.3438,0.65566,0.00864,0.0013862,0.0013862,0.0013862
33,1026.72,1.64943,0.69537,0.00266,0.69702,0.67908,0.72552,0.41386,1.30874,0.63855,0.0082,0.0013664,0.0013664,0.0013664
34,1057.35,1.72266,0.73077,0.0026,0.69656,0.68832,0.72866,0.41543,1.26665,0.63213,0.00814,0.0013466,0.0013466,0.0013466
35,1088.14,1.68188,0.70368,0.00257,0.68674,0.67969,0.72193,0.41558,1.32799,0.61247,0.00851,0.0013268,0.0013268,0.0013268
36,1118.92,1.6473,0.7028,0.00255,0.69072,0.69422,0.73076,0.41509,1.32979,0.64825,0.00889,0.001307,0.001307,0.001307
37,1149.67,1.62203,0.69006,0.0027,0.68742,0.6977,0.7297,0.41651,1.31375,0.63549,0.00839,0.0012872,0.0012872,0.0012872
38,1180.24,1.64329,0.6885,0.00263,0.69241,0.6956,0.73677,0.41909,1.31675,0.65286,0.00893,0.0012674,0.0012674,0.0012674
39,1210.98,1.67763,0.71662,0.00262,0.68861,0.69771,0.72851,0.41163,1.28982,0.64611,0.00793,0.0012476,0.0012476,0.0012476
40,1241.74,1.65426,0.69938,0.00252,0.6743,0.67053,0.71923,0.41435,1.30418,0.6249,0.008,0.0012278,0.0012278,0.0012278
41,1272.52,1.68313,0.7166,0.00248,0.7056,0.68214,0.72952,0.42196,1.30076,0.63279,0.00825,0.001208,0.001208,0.001208
42,1303.17,1.65215,0.71392,0.00249,0.6939,0.70382,0.74167,0.42437,1.27839,0.64164,0.00796,0.0011882,0.0011882,0.0011882
43,1333.96,1.64422,0.70276,0.00256,0.72316,0.69075,0.74549,0.42442,1.25284,0.60843,0.00761,0.0011684,0.0011684,0.0011684
44,1364.66,1.61906,0.68731,0.0024,0.69413,0.70931,0.74033,0.42816,1.23789,0.61707,0.00772,0.0011486,0.0011486,0.0011486
45,1395.47,1.59366,0.68376,0.00246,0.67516,0.69466,0.72988,0.42252,1.24855,0.60452,0.00775,0.0011288,0.0011288,0.0011288
46,1426.1,1.63002,0.70133,0.00238,0.70098,0.71237,0.74546,0.42678,1.24196,0.61622,0.00778,0.001109,0.001109,0.001109
47,1456.51,1.60549,0.6871,0.00254,0.69335,0.72353,0.74982,0.42122,1.30411,0.58871,0.00823,0.0010892,0.0010892,0.0010892
48,1487.27,1.62853,0.69889,0.00246,0.69215,0.71193,0.74528,0.42659,1.25189,0.61161,0.00791,0.0010694,0.0010694,0.0010694
49,1517.86,1.60374,0.68554,0.00246,0.70008,0.70382,0.74863,0.4295,1.24152,0.6041,0.00766,0.0010496,0.0010496,0.0010496
50,1548.67,1.57807,0.66894,0.00241,0.6888,0.70626,0.74262,0.42313,1.24585,0.58301,0.00775,0.0010298,0.0010298,0.0010298
51,1579.25,1.62577,0.69532,0.0024,0.7044,0.70359,0.74589,0.43133,1.22908,0.61364,0.0075,0.00101,0.00101,0.00101
52,1609.97,1.55736,0.66863,0.0024,0.70871,0.69238,0.74989,0.4263,1.23967,0.58869,0.00746,0.0009902,0.0009902,0.0009902
53,1640.73,1.59987,0.68648,0.00231,0.69703,0.6971,0.7486,0.43211,1.23332,0.60767,0.00737,0.0009704,0.0009704,0.0009704
54,1671.33,1.56963,0.67409,0.0024,0.68769,0.71001,0.75053,0.42658,1.22059,0.58293,0.00756,0.0009506,0.0009506,0.0009506
55,1701.96,1.60035,0.68437,0.00228,0.6962,0.71145,0.74827,0.43075,1.23217,0.62271,0.00753,0.0009308,0.0009308,0.0009308
