epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2558,1.39097,1.95877,0.0109,0.75649,0.65957,0.6752,0.374,1.59153,1.42146,0.01652,0.000664093,0.000664093,0.000664093
2,59.9868,1.52235,1.01908,0.01301,0.82993,0.74411,0.82795,0.45631,1.59081,0.91765,0.01638,0.00131758,0.00131758,0.00131758
3,85.8278,1.52114,0.98795,0.01234,0.7793,0.80851,0.80415,0.47076,1.5625,0.90158,0.01585,0.00195788,0.00195788,0.00195788
4,109.876,1.49807,0.88657,0.01224,0.77599,0.79848,0.80892,0.49381,1.47634,0.87527,0.01514,0.0019406,0.0019406,0.0019406
5,134.199,1.47291,0.88068,0.01226,0.79852,0.78723,0.83059,0.4928,1.47221,0.8724,0.01519,0.0019208,0.0019208,0.0019208
6,157.811,1.48222,0.81508,0.01215,0.86963,0.80421,0.87394,0.52238,1.42349,0.82477,0.0145,0.001901,0.001901,0.001901
7,181.413,1.43722,0.77865,0.01175,0.86077,0.84752,0.86833,0.54002,1.3603,0.70409,0.01305,0.0018812,0.0018812,0.0018812
8,204.408,1.41789,0.79539,0.01173,0.85809,0.83688,0.86842,0.54289,1.39095,0.68815,0.0137,0.0018614,0.0018614,0.0018614
9,227.367,1.36951,0.75243,0.01121,0.84288,0.81799,0.85707,0.56965,1.24153,0.71348,0.01182,0.0018416,0.0018416,0.0018416
10,251.275,1.34695,0.73598,0.01056,0.85667,0.79433,0.84341,0.54144,1.35724,0.74858,0.01289,0.0018218,0.0018218,0.0018218
11,275.47,1.36818,0.7486,0.01107,0.88869,0.84933,0.8916,0.58526,1.26447,0.70665,0.01301,0.001802,0.001802,0.001802
12,298.682,1.33742,0.72972,0.01094,0.89458,0.8227,0.88418,0.55219,1.35324,0.69039,0.01309,0.0017822,0.0017822,0.0017822
13,325.828,1.31505,0.68257,0.01096,0.86006,0.84995,0.89622,0.56384,1.30609,0.68164,0.01289,0.0017624,0.0017624,0.0017624
14,352.554,1.32409,0.67684,0.0107,0.86805,0.86313,0.8959,0.58203,1.26856,0.65298,0.01275,0.0017426,0.0017426,0.0017426
15,381.641,1.3068,0.69574,0.01038,0.87247,0.82979,0.86772,0.56324,1.29223,0.65321,0.01229,0.0017228,0.0017228,0.0017228
16,410.087,1.28091,0.68376,0.01022,0.92018,0.81915,0.89583,0.57452,1.32533,0.64911,0.0132,0.001703,0.001703,0.001703
17,437.392,1.32365,0.70032,0.01087,0.86911,0.80496,0.89097,0.5876,1.23283,0.68669,0.01167,0.0016832,0.0016832,0.0016832
18,465,1.27696,0.66923,0.01009,0.87265,0.8262,0.88965,0.59168,1.24533,0.66463,0.0118,0.0016634,0.0016634,0.0016634
19,492.106,1.28486,0.64121,0.00999,0.91023,0.82696,0.91748,0.59502,1.27566,0.65632,0.01221,0.0016436,0.0016436,0.0016436
20,519.277,1.25187,0.66015,0.00989,0.87482,0.88298,0.90774,0.589,1.33347,0.62911,0.01281,0.0016238,0.0016238,0.0016238
21,546.927,1.26344,0.64656,0.01,0.90566,0.87589,0.91057,0.60149,1.26403,0.60861,0.01192,0.001604,0.001604,0.001604
22,572.217,1.28512,0.64109,0.0102,0.89977,0.85948,0.89319,0.59141,1.29986,0.67162,0.01248,0.0015842,0.0015842,0.0015842
23,602.999,1.25742,0.63607,0.0099,0.89836,0.84624,0.9076,0.61393,1.25666,0.63647,0.01164,0.0015644,0.0015644,0.0015644
24,637.78,1.25782,0.63068,0.00987,0.89168,0.85816,0.90323,0.59577,1.2567,0.70904,0.01193,0.0015446,0.0015446,0.0015446
25,671.274,1.23254,0.61145,0.00978,0.91354,0.87234,0.91795,0.60537,1.25886,0.61634,0.01218,0.0015248,0.0015248,0.0015248
26,702.454,1.22655,0.60109,0.00945,0.8596,0.82979,0.86472,0.56441,1.28158,0.66738,0.01239,0.001505,0.001505,0.001505
27,727.301,1.20019,0.59117,0.00918,0.87682,0.87234,0.91347,0.61788,1.22559,0.64681,0.01149,0.0014852,0.0014852,0.0014852
28,752.42,1.19326,0.55955,0.00924,0.89418,0.839,0.89724,0.60154,1.23434,0.65023,0.01161,0.0014654,0.0014654,0.0014654
