cv_thresh_x100,motion_w,min_hsv_x100,bg_var_thresh,conf_x100,track_min_hits,color_w,shape_w,avg_stable,cv_pass_rate,peak_stable,zero_frac,score
8,0,6,60,13,2,6,4,0.354,0.922,1.5,0.079,0.9
8,0,6,100,13,2,6,4,0.354,0.922,1.5,0.079,0.9
8,0,6,140,13,2,6,4,0.354,0.922,1.5,0.079,0.9
8,1,6,60,13,2,6,3,0.354,0.922,1.5,0.079,0.9
8,1,6,100,13,2,6,3,0.354,0.922,1.5,0.079,0.9
8,1,6,140,13,2,6,3,0.354,0.922,1.5,0.079,0.9
12,1,6,60,13,2,6,3,0.354,0.922,1.5,0.079,0.9
12,1,6,100,13,2,6,3,0.354,0.922,1.5,0.079,0.9
12,1,6,140,13,2,6,3,0.354,0.922,1.5,0.079,0.9
18,1,6,60,13,2,6,3,0.352,0.915,1.5,0.077,0.8884
18,1,6,100,13,2,6,3,0.352,0.915,1.5,0.077,0.8884
18,1,6,140,13,2,6,3,0.352,0.915,1.5,0.077,0.8884
12,0,6,60,13,2,6,4,0.35,0.913,1.5,0.077,0.8806
12,0,6,100,13,2,6,4,0.35,0.913,1.5,0.077,0.8806
12,0,6,140,13,2,6,4,0.35,0.913,1.5,0.077,0.8806
8,0,10,60,13,2,6,4,0.346,0.91,1.5,0.077,0.8663
8,0,10,100,13,2,6,4,0.346,0.91,1.5,0.077,0.8663
8,0,10,140,13,2,6,4,0.346,0.91,1.5,0.077,0.8663
8,1,10,60,13,2,6,3,0.346,0.91,1.5,0.077,0.8663
8,1,10,100,13,2,6,3,0.346,0.91,1.5,0.077,0.8663
8,1,10,140,13,2,6,3,0.346,0.91,1.5,0.077,0.8663
12,0,10,60,13,2,6,4,0.346,0.91,1.5,0.077,0.8663
12,0,10,100,13,2,6,4,0.346,0.91,1.5,0.077,0.8663
12,0,10,140,13,2,6,4,0.346,0.91,1.5,0.077,0.8663
12,1,10,60,13,2,6,3,0.346,0.91,1.5,0.077,0.8663
12,1,10,100,13,2,6,3,0.346,0.91,1.5,0.077,0.8663
12,1,10,140,13,2,6,3,0.346,0.91,1.5,0.077,0.8663
18,1,10,60,13,2,6,3,0.346,0.91,1.5,0.077,0.8663
18,1,10,100,13,2,6,3,0.346,0.91,1.5,0.077,0.8663
18,1,10,140,13,2,6,3,0.346,0.91,1.5,0.077,0.8663
18,0,6,60,13,2,6,4,0.348,0.89,1.5,0.079,0.8417
18,0,6,100,13,2,6,4,0.348,0.89,1.5,0.079,0.8417
18,0,6,140,13,2,6,4,0.348,0.89,1.5,0.079,0.8417
18,0,10,60,13,2,6,4,0.344,0.887,1.5,0.079,0.8274
18,0,10,100,13,2,6,4,0.344,0.887,1.5,0.079,0.8274
18,0,10,140,13,2,6,4,0.344,0.887,1.5,0.079,0.8274
8,0,15,60,13,2,6,4,0.34,0.884,1.5,0.079,0.8131
8,0,15,100,13,2,6,4,0.34,0.884,1.5,0.079,0.8131
8,0,15,140,13,2,6,4,0.34,0.884,1.5,0.079,0.8131
8,1,15,60,13,2,6,3,0.34,0.884,1.5,0.079,0.8131
